category,term,description,number_of_genes,number_of_genes_in_background,p_value,fdr,preferredNames
WikiPathways,WP4747,Netrin-UNC5B signaling pathway,5,52,3.32e-05,0.00025,"MAPK1,MAPK14,MAPK3,KDR,PTPN11"
WikiPathways,WP3668,Hypothesized pathways in pathogenesis of cardiovascular disease,4,25,3.47e-05,0.00026,"MAPK1,MAPK14,MAPK3,MAPK8"
WikiPathways,WP673,ErbB signaling pathway,6,89,3.5e-05,0.00026,"MAPK1,MAPK3,EGFR,ABL1,PIK3CD,MAPK8"
WikiPathways,WP117,"GPCRs, other",6,91,3.93e-05,0.00028,"ADORA3,CHRM3,DRD3,CHRM2,HTR2A,ADORA2A"
WikiPathways,WP4630,Measles virus infection,7,135,3.83e-05,0.00028,"CSNK2A1,CDK2,PIK3CD,MAPK8,IL6,TYK2,JAK3"
WikiPathways,WP581,EPO receptor signaling,4,26,3.99e-05,0.00029,"MAPK1,MAPK3,JAK2,PIK3CG"
WikiPathways,WP195,IL-1 signaling pathway,5,55,4.26e-05,0.0003,"MAPK1,MAPK14,MAPK3,MAPK8,PTPN11"
WikiPathways,WP2035,Follicle stimulating hormone (FSH) signaling pathway,4,27,4.56e-05,0.00032,"MAPK1,MAPK14,MAPK3,CYP19A1"
WikiPathways,WP4707,Aspirin and miRNAs,3,9,5.54e-05,0.00039,"PTGS1,PTGS2,PPARA"
WikiPathways,WP4720,Eicosanoid metabolism via cytochrome P450 monooxygenases pathway,3,9,5.54e-05,0.00039,"PPARG,PPARA,EPHX2"
WikiPathways,WP696,Benzo(a)pyrene metabolism,3,9,5.54e-05,0.00039,"AKR1C3,AKR1C2,AKR1C1"
WikiPathways,WP4540,Hippo signaling regulation pathways,6,98,5.82e-05,0.0004,"FLT3,KDR,EGFR,MET,FGFR1,NTRK1"
WikiPathways,WP496,Steroid biosynthesis,3,10,7.17e-05,0.00048,"HSD17B1,CYP17A1,HSD17B3"
WikiPathways,WP4155,Endometrial cancer,5,63,7.8e-05,0.00052,"MAPK1,MAPK3,EGFR,PIK3CD,FGFR1"
WikiPathways,WP4149,White fat cell differentiation,4,32,8.32e-05,0.00055,"NR3C1,RORA,PPARG,NR1H3"
WikiPathways,WP244,Alpha 6 beta 4 signaling pathway,4,33,9.28e-05,0.00061,"MAPK1,MAPK14,MAPK3,PTPN11"
WikiPathways,WP710,DNA damage response (only ATM dependent),6,109,0.0001,0.00066,"MAPK1,ABL1,PLAU,PIK3CD,MAPK8,PIK3CG"
WikiPathways,WP1982,Sterol regulatory element-binding proteins (SREBP) signaling,5,68,0.00011,0.00071,"CYP51A1,PPARG,HMGCR,SREBF2,NR1H2"
WikiPathways,WP707,DNA damage response,5,69,0.00012,0.00075,"CDK2,CDC25A,PRKDC,ABL1,CHEK1"
WikiPathways,WP2880,Glucocorticoid receptor pathway,5,70,0.00012,0.00079,"NR3C1,HSP90AA1,NR1I2,PTGS2,NR1I3"
WikiPathways,WP1530,miRNA regulation of DNA damage response,5,71,0.00013,0.00083,"CDK2,CDC25A,PRKDC,ABL1,CHEK1"
WikiPathways,WP3888,VEGFA-VEGFR2 signaling,11,428,0.00013,0.00083,"MAPK1,MAPK14,MAPK3,KDR,HSP90AA1,PTGS2,PTPN1,ABL1,PLAU,MAPK8,PTPN11"
WikiPathways,WP1434,Osteopontin signaling,3,13,0.00014,0.00086,"MAPK1,MAPK3,PLAU"
WikiPathways,WP4255,Non-small cell lung cancer,5,72,0.00014,0.00086,"MAPK1,MAPK3,EGFR,PIK3CD,JAK3"
WikiPathways,WP4331,Neovascularisation processes,4,37,0.00014,0.00086,"MAPK1,MAPK3,KDR,MAPK8"
WikiPathways,WP4337,ncRNAs involved in STAT3 signaling in hepatocellular carcinoma,3,13,0.00014,0.00086,"JAK2,IL6,JAK3"
WikiPathways,WP4919,Neuroinflammation,3,13,0.00014,0.00086,"MAPK14,NOS2,MAPK8"
WikiPathways,WP4541,Hippo-Merlin signaling dysregulation,6,119,0.00016,0.00096,"FLT3,KDR,EGFR,MET,FGFR1,NTRK1"
WikiPathways,WP1604,Codeine and morphine metabolism,3,14,0.00017,0.00099,"UGT2B7,ABCB1,CYP2D6"
WikiPathways,WP179,Cell cycle,6,120,0.00017,0.00099,"CDC25B,CDK2,CDC25A,PRKDC,ABL1,CHEK1"
WikiPathways,WP4871,Kisspeptin/kisspeptin receptor system in the ovary,4,39,0.00017,0.00099,"MAPK1,MAPK3,PIK3CD,PIK3CG"
WikiPathways,WP5318,Female steroid hormones in cardiomyocyte energy metabolism,3,14,0.00017,0.00099,"MAPK1,PPARA,ESR1"
WikiPathways,WP2516,ATM signaling pathway,4,40,0.00018,0.0011,"CDK2,CDC25A,ABL1,CHEK1"
WikiPathways,WP2526,PDGF pathway,4,40,0.00018,0.0011,"MAPK1,MAPK3,MAPK8,PTPN11"
WikiPathways,WP49,IL-2 signaling pathway,4,42,0.00022,0.0012,"MAPK1,MAPK3,JAK3,PTPN11"
WikiPathways,WP1971,Integrated cancer pathway,4,44,0.00026,0.0014,"CDC25B,CDK2,CDC25A,CHEK1"
WikiPathways,WP5154,Docosahexaenoic acid oxylipin metabolism,2,2,0.00025,0.0014,"PTGS2,EPHX2"
WikiPathways,WP22,IL-9 signaling pathway,3,17,0.00028,0.0015,"MAPK1,MAPK3,JAK3"
WikiPathways,WP4263,Pancreatic adenocarcinoma pathway,5,86,0.00031,0.0017,"MAPK1,MAPK3,EGFR,PIK3CD,MAPK8"
WikiPathways,WP1541,Energy metabolism,4,47,0.00033,0.0018,"MAPK14,PPARG,PPARD,PPARA"
WikiPathways,WP2637,Interleukin-1 (IL-1) structural pathway,4,48,0.00035,0.0019,"MAPK1,MAPK14,MAPK3,MAPK8"
WikiPathways,WP306,Focal adhesion,7,195,0.00034,0.0019,"MAPK1,MAPK3,KDR,EGFR,MET,PIK3CD,MAPK8"
WikiPathways,WP5098,T-cell activation SARS-CoV-2,5,88,0.00034,0.0019,"MAPK1,MAPK3,PIK3CD,JAK2,TYK2"
WikiPathways,WP4300,Extracellular vesicles in the crosstalk of cardiac cells,3,19,0.00037,0.002,"KDR,EGFR,IL6"
WikiPathways,WP5238,Cholestasis,3,19,0.00037,0.002,"HMGCR,NR1I3,NR1H4"
WikiPathways,WP734,Serotonin receptor 4/6/7 and NR3C signaling,3,19,0.00037,0.002,"MAPK1,NR3C1,MAPK3"
WikiPathways,WP2645,Heroin metabolism,2,3,0.00041,0.0021,"BCHE,CES2"
WikiPathways,WP5137,Linoleic acid oxylipin metabolism,2,3,0.00041,0.0021,"ALOX5,EPHX2"
WikiPathways,WP732,Serotonin receptor 2 and ELK-SRF/GATA4 signaling,3,20,0.00042,0.0022,"MAPK1,MAPK3,HTR2A"
WikiPathways,WP4482,Vitamin D in inflammatory diseases,3,21,0.00048,0.0025,"MAPK14,NR3C1,IL6"
WikiPathways,WP23,B cell receptor signaling pathway,5,97,0.00052,0.0027,"MAPK1,MAPK14,MAPK8,PIK3CG,PTPN11"
WikiPathways,WP2795,Cardiac hypertrophic response,4,54,0.00054,0.0027,"MAPK1,MAPK14,MAPK3,MAPK8"
WikiPathways,WP585,Interferon type I signaling pathways,4,54,0.00054,0.0027,"MAPK14,PIK3CD,TYK2,PTPN11"
WikiPathways,WP2018,RANKL/RANK signaling pathway,4,55,0.00057,0.0029,"MAPK1,MAPK14,MAPK3,MAPK8"
WikiPathways,WP1539,Angiogenesis,3,23,0.00061,0.003,"MAPK1,MAPK14,KDR"
WikiPathways,WP262,Ebstein-Barr virus LMP1 signaling,3,23,0.00061,0.003,"MAPK1,HSP90AA1,MAPK8"
WikiPathways,WP2826,Cocaine metabolism,2,4,0.00061,0.003,"BCHE,CES2"
WikiPathways,WP4197,Immune response to tuberculosis,3,23,0.00061,0.003,"PTPN2,JAK2,TYK2"
WikiPathways,WP4396,Nonalcoholic fatty liver disease,6,154,0.00061,0.003,"PIK3CD,MAPK8,PPARA,IL6,NR1H4,NR1H3"
WikiPathways,WP712,Estrogen signaling pathway,3,23,0.00061,0.003,"MAPK1,MAPK14,ESR1"
WikiPathways,WP733,Serotonin receptor 2 and STAT3 signaling,2,4,0.00061,0.003,"JAK2,HTR2A"
WikiPathways,WP5115,Network map of SARS-CoV-2 signaling pathway,7,218,0.00065,0.0031,"CTSD,CTSB,PTGS2,JAK2,MAPK8,IL6,NTRK1"
WikiPathways,WP1528,Physiological and pathological hypertrophy of the heart,3,24,0.00069,0.0032,"MAPK1,MAPK14,MAPK8"
WikiPathways,WP5074,Kallmann syndrome,3,24,0.00069,0.0032,"MAPK1,FGFR1,PTPN11"
WikiPathways,WP558,Complement and coagulation cascades,4,58,0.00069,0.0032,"F2,PLG,PLAU,F10"
WikiPathways,WP205,IL-7 signaling pathway,3,25,0.00077,0.0035,"MAPK1,MAPK3,JAK3"
WikiPathways,WP2878,PPAR-alpha pathway,3,26,0.00085,0.0039,"FABP1,PPARA,NR1H3"
WikiPathways,WP3929,Chemokine signaling pathway,6,165,0.00086,0.0039,"MAPK1,MAPK3,PIK3CD,JAK2,PIK3CG,JAK3"
WikiPathways,WP4818,Conversion of angiotensinogen to angiotensin II ,2,5,0.00085,0.0039,"CTSD,ACE"
WikiPathways,WP4767,FGFR3 signaling in chondrocyte proliferation and terminal differentiation,3,27,0.00094,0.0042,"MAPK1,MAPK14,MAPK3"
WikiPathways,WP5064,7-oxo-C and 7-beta-HC pathways,3,27,0.00094,0.0042,"HSD11B2,HSD11B1,EPHX2"
WikiPathways,WP5323,Fatty Acids and Lipoproteins Transport in Hepatocytes,9,380,0.00096,0.0043,"CYP51A1,FABP4,HMGCR,NPC1L1,FABP1,PPARD,ABL1,G6PD,PIK3CG"
WikiPathways,WP4313,Ferroptosis,4,64,0.00098,0.0044,"HMGCR,AKR1C3,AKR1C2,AKR1C1"
WikiPathways,WP3680,Physico-chemical features and toxicity-associated pathways,4,65,0.001,0.0045,"MAPK1,EGFR,MAPK8,PIK3CG"
WikiPathways,WP5316,Primary ovarian insufficiency,6,171,0.001,0.0045,"KDR,ESR2,CYP17A1,CYP19A1,IL6,ESR1"
WikiPathways,WP3931,Embryonic stem cell pluripotency pathways,5,116,0.0011,0.0049,"MAPK1,EGFR,PIK3CD,FGFR1,PTPN11"
WikiPathways,WP3972,PDGFR-beta pathway,3,29,0.0011,0.0049,"MAPK3,JAK2,MAPK8"
WikiPathways,WP4586,Metabolism of alpha-linolenic acid,2,6,0.0011,0.0049,"PTGS2,ALOX5"
WikiPathways,WP4721,Eicosanoid metabolism via lipooxygenases (LOX),3,29,0.0011,0.0049,"PPARD,ALOX5,PPARA"
WikiPathways,WP4685,Melanoma,4,68,0.0012,0.0052,"MAPK1,MAPK3,KDR,PIK3CD"
WikiPathways,WP4657,22q11.2 copy number variation syndrome,5,119,0.0013,0.0053,"EGFR,RORC,SREBF2,DRD2,FGFR1"
WikiPathways,WP5102,Familial partial lipodystrophy,3,30,0.0012,0.0053,"FABP4,PPARG,PPARA"
WikiPathways,WP2112,IL-17 signaling pathway,3,32,0.0015,0.0061,"MAPK1,MAPK3,JAK2"
WikiPathways,WP3995,Prion disease pathway,3,32,0.0015,0.0061,"MAPK1,MAPK3,FGFR1"
WikiPathways,WP4216,Chromosomal and microsatellite instability in colorectal cancer ,4,72,0.0015,0.0061,"MAPK1,MAPK3,PTGS2,MAPK8"
WikiPathways,WP422,MAPK cascade,3,32,0.0015,0.0061,"MAPK1,MAPK14,MAPK3"
WikiPathways,WP4927,"COVID-19, thrombosis and anticoagulation",2,7,0.0014,0.0061,"F2,PLG"
WikiPathways,WP5088,Prostaglandin signaling,3,32,0.0015,0.0061,"PTGES,IL6,PIK3CG"
WikiPathways,WP678,Arachidonate epoxygenase / epoxide hydrolase,2,7,0.0014,0.0061,"CYP2C9,EPHX2"
WikiPathways,WP4496,Signal transduction through IL1R,3,33,0.0016,0.0065,"MAPK14,MAPK8,IL6"
WikiPathways,WP4874,CAMKK2 pathway,3,33,0.0016,0.0065,"MAPK1,CHRM3,MAPK3"
WikiPathways,WP4880,Host-pathogen interaction of human coronaviruses - interferon induction,3,33,0.0016,0.0065,"MAPK14,MAPK8,TYK2"
WikiPathways,WP4949,16p11.2 proximal deletion syndrome,4,74,0.0016,0.0065,"NR3C1,MAPK3,PPARG,ESR1"
WikiPathways,WP5133,Non-classical role of vitamin D,2,8,0.0018,0.0071,"CYP27B1,ACE"
WikiPathways,WP3298,Melatonin metabolism and effects,3,35,0.0019,0.0074,"ACHE,CYP2C19,CYP2D6"
WikiPathways,WP34,Ovarian infertility,3,36,0.002,0.008,"PGR,ESR2,CYP19A1"
WikiPathways,WP5333,Cholesterol metabolism,3,36,0.002,0.008,"CYP51A1,HMGCR,NPC1L1"
WikiPathways,WP1531,Vitamin D metabolism,2,9,0.0022,0.0085,"CYP27B1,GC"
WikiPathways,WP4016,DNA IR-damage and cellular response via ATR,4,81,0.0022,0.0085,"POLB,CDK2,PRKDC,CHEK1"
WikiPathways,WP4329,miRNA role in immune response in sepsis,3,37,0.0022,0.0085,"MAPK14,MAPK8,IL6"
WikiPathways,WP4754,IL-18 signaling pathway,7,271,0.0022,0.0085,"MAPK1,KCNH2,MAPK3,NOS2,PTGS2,IL6,NR1H3"
WikiPathways,WP5269,Genetic causes of porto-sinusoidal vascular disease,3,37,0.0022,0.0085,"MAPK1,MAPK3,ESR1"
WikiPathways,WP619,Type II interferon signaling,3,37,0.0022,0.0085,"NOS2,JAK2,PTPN11"
WikiPathways,WP4298,Acute viral myocarditis,4,85,0.0026,0.01,"MAPK1,MAPK3,ABL1,IL6"
WikiPathways,WP2636,Common pathways underlying drug addiction,3,41,0.0029,0.0108,"MAPK1,MAPK3,DRD2"
WikiPathways,WP5221,2q11.2 copy number variation syndrome,3,41,0.0029,0.0108,"MAPK1,MAPK3,IL6"
WikiPathways,WP80,Nucleotide GPCRs,2,11,0.0031,0.0115,"ADORA3,ADORA2A"
WikiPathways,WP4136,Fibrin complement receptor 3 signaling pathway,3,43,0.0033,0.0121,"PLG,NOS2,IL6"
WikiPathways,WP5198,Inflammatory bowel disease signaling,3,43,0.0033,0.0121,"RORA,RORC,IL6"
WikiPathways,WP229,Irinotecan pathway,2,12,0.0036,0.0131,"BCHE,CES2"
WikiPathways,WP4389,Bile acids synthesis and enterohepatic circulation ,2,12,0.0036,0.0131,"MAPK1,MAPK3"
WikiPathways,WP4746,Thyroid hormones production and peripheral downstream signaling effects,4,93,0.0036,0.0131,"MAPK1,MAPK14,PPARG,FGFR1"
WikiPathways,WP5186,Vitamin K metabolism and activation of dependent proteins,2,12,0.0036,0.0131,"F2,F10"
WikiPathways,WP5191,Resolvin E1 and resolvin D1 signaling pathways promoting inflammation resolution,2,12,0.0036,0.0131,"PIK3CD,PIK3CG"
WikiPathways,WP3878,ATM signaling in development and disease ,3,45,0.0037,0.0132,"PRKDC,G6PD,CHEK1"
WikiPathways,WP4008,NO/cGMP/PKG mediated neuroprotection,3,46,0.0039,0.0139,"NOS2,PDE2A,PDE3A"
WikiPathways,WP4658,Small cell lung cancer,4,95,0.0039,0.0139,"CDK2,NOS2,PTGS2,PIK3CD"
WikiPathways,WP2814,Mammary gland development pathway - Puberty (Stage 2 of 4),2,13,0.0041,0.0145,"PGR,ESR1"
WikiPathways,WP2881,Estrogen receptor pathway,2,13,0.0041,0.0145,"PPARA,ESR1"
WikiPathways,WP3301,MFAP5-mediated ovarian cancer cell motility and invasiveness,2,13,0.0041,0.0145,"MAPK1,MAPK3"
WikiPathways,WP4239,Epithelial to mesenchymal transition in colorectal cancer,5,160,0.0044,0.0152,"MAPK1,MAPK14,MAPK3,PIK3CD,MAPK8"
WikiPathways,WP5055,Burn wound healing,4,100,0.0046,0.0161,"KDR,ACHE,IL6,FGFR1"
WikiPathways,WP4582,Cancer immunotherapy by CTLA4 blockade,2,14,0.0047,0.0162,"PIK3CD,PTPN11"
WikiPathways,WP1533,Vitamin B12 metabolism,3,50,0.0049,0.0167,"F2,PLG,IL6"
WikiPathways,WP4539,Synaptic signaling pathways associated with autism spectrum disorder,3,50,0.0049,0.0167,"MAPK1,MAPK3,PIK3CD"
WikiPathways,WP363,Wnt signaling pathway,3,51,0.0051,0.0175,"MAPK1,PPARG,MAPK8"
WikiPathways,WP1545,miRNAs involved in DNA damage response,2,15,0.0053,0.0179,"CDC25A,ABL1"
WikiPathways,WP197,Cholesterol biosynthesis pathway,2,15,0.0053,0.0179,"CYP51A1,HMGCR"
WikiPathways,WP3853,ERK pathway in Huntingtons disease,2,15,0.0053,0.0179,"MAPK1,EGFR"
WikiPathways,WP4589,Major receptors targeted by epinephrine and norepinephrine,2,16,0.0059,0.0198,"ADRA2A,ADRA2C"
WikiPathways,WP4321,Thermogenesis,4,108,0.006,0.0201,"MAPK14,PPARG,RPS6KA3,FGFR1"
WikiPathways,WP3959,DNA IR-double strand breaks and cellular response via ATM,3,55,0.0063,0.0208,"PRKDC,ABL1,CHEK1"
WikiPathways,WP3859,TGF-beta signaling in thyroid cells for epithelial-mesenchymal transition,2,17,0.0066,0.0218,"MAPK1,MAPK3"
WikiPathways,WP3874,Canonical and non-canonical TGF-B signaling,2,17,0.0066,0.0218,"MAPK14,MAPK8"
WikiPathways,WP3935,Leptin-insulin signaling overlap,2,17,0.0066,0.0218,"JAK2,PIK3CG"
WikiPathways,WP554,ACE inhibitor pathway,2,17,0.0066,0.0218,"ACE,NR3C2"
WikiPathways,WP3879,"4-hydroxytamoxifen, dexamethasone, and retinoic acids regulation of p27 expression",2,18,0.0073,0.0237,"MAPK1,MAPK3"
WikiPathways,WP4301,Inhibition of exosome biogenesis and secretion by Manumycin A in CRPC cells,2,18,0.0073,0.0237,"MAPK1,MAPK3"
WikiPathways,WP4560,MFAP5 effect on permeability and motility of endothelial cells via cytoskeleton rearrangement,2,18,0.0073,0.0237,"MAPK1,MAPK3"
WikiPathways,WP5061,Fatty acid transporters,2,18,0.0073,0.0237,"FABP4,FABP1"
WikiPathways,WP5193,Cholesterol synthesis disorders,2,18,0.0073,0.0237,"CYP51A1,HMGCR"
WikiPathways,WP697,Estrogen metabolism,2,18,0.0073,0.0237,"STS,UGT2B7"
WikiPathways,WP4478,LTF danger signal response pathway,2,19,0.008,0.0254,"MAPK1,IL6"
WikiPathways,WP3640,Imatinib and chronic myeloid leukemia,2,20,0.0088,0.0278,"ABL1,ABCB1"
WikiPathways,WP3927,BMP signaling in eyelid development,2,20,0.0088,0.0278,"MAPK3,EGFR"
WikiPathways,WP4970,Galanin receptor pathway,2,20,0.0088,0.0278,"PPARG,IL6"
WikiPathways,WP5149,Lipid metabolism in senescent cells,2,20,0.0088,0.0278,"PTGS2,ALOX5"
WikiPathways,WP1602,Nicotine effect on dopaminergic neurons,2,21,0.0096,0.0298,"DRD2,DRD3"
WikiPathways,WP1403,AMP-activated protein kinase signaling,3,67,0.0105,0.0322,"HMGCR,PIK3CD,PIK3CG"
WikiPathways,WP1584,Type II diabetes mellitus,2,22,0.0104,0.0322,"MAPK1,MAPK8"
WikiPathways,WP176,Folate metabolism,3,67,0.0105,0.0322,"F2,PLG,IL6"
WikiPathways,WP5046,NAD metabolism in oncogene-induced senescence and mitochondrial dysfunction-associated senescence,2,22,0.0104,0.0322,"G6PD,IL6"
WikiPathways,WP5294,Sildenafil treatment,2,22,0.0104,0.0322,"NOS2,PDE4D"
WikiPathways,WP3612,Photodynamic therapy-induced NFE2L2 (NRF2) survival signaling,2,23,0.0113,0.0342,"MAPK14,MAPK8"
WikiPathways,WP366,TGF-beta signaling pathway,4,132,0.0117,0.0355,"MAPK1,MAPK14,MET,MAPK8"
WikiPathways,WP5272,LDL- influence on CD14 and TLR4,2,24,0.0121,0.0366,"MAPK14,IL6"
WikiPathways,WP24,Peptide GPCRs,3,72,0.0127,0.038,"TACR2,HCRTR1,OPRM1"
WikiPathways,WP4674,Head and neck squamous cell carcinoma,3,72,0.0127,0.038,"EGFR,FGFR1,PIK3CG"
WikiPathways,WP5304,Cholesterol metabolism,3,72,0.0127,0.038,"CYP51A1,HMGCR,NPC1L1"
WikiPathways,WP1981,Thyroxine (thyroid hormone) production,2,25,0.0131,0.0388,"MAPK1,MAPK3"
WikiPathways,WP26,S1P receptor signal transduction,2,25,0.0131,0.0388,"MAPK1,MAPK3"
WikiPathways,WP3658,Wnt/beta-catenin signaling pathway in leukemia,2,26,0.014,0.0413,"FLT3,PPARD"
WikiPathways,WP5083,Neuroinflammation and glutamatergic signaling,4,140,0.0142,0.0418,"MAPK1,MAPK3,GLUL,IL6"
WikiPathways,WP5183,SARS-CoV-2 mitochondrial chronic oxidative stress and endothelial dysfunction,2,27,0.015,0.0438,"ACE,IL6"
WikiPathways,WP5231,Hippocampal synaptogenesis and neurogenesis,2,27,0.015,0.0438,"MAPK1,MAPK14"
WikiPathways,WP4969,RAS and bradykinin pathways in COVID-19,2,28,0.016,0.0464,"MAPK1,ACE"
WikiPathways,WP5036,Angiotensin II receptor type 1 pathway,2,28,0.016,0.0464,"MAPK1,PTPN11"
WikiPathways,WP5121,Sphingolipid metabolism in senescence,2,28,0.016,0.0464,"MAPK1,CDK2"
HPO,EFO:0004747,Protein measurement,75,5856,1.41e-11,1.38e-07,"MAPK1,CYP27B1,NR3C1,CTSD,FLT3,CHRM3,RORA,MAPK3,KDR,BCHE,POLB,CDK2,EGFR,CA2,PPARG,HMGCR,NPC1L1,ACE,FABP1,CDC25A,UGT2B7,F2,PLG,ADAM17,PPARD,PTPN2,PRKDC,MET,BACE1,RORC,CACNA1H,HSP90AA1,NR1I2,SERPINA6,ESR2,PDE4D,CTSB,NR3C2,PDE3A,SREBF2,TOP1,PTGS1,PTPN1,ABL1,PLAU,ALOX5,AR,HSD17B3,F10,GABBR1,RPS6KA3,SHBG,AKR1C3,AKR1C1,JAK2,G6PD,CYP19A1,HCRTR1,PPARA,PDE7A,IL6,TBXAS1,OPRM1,ESR1,GC,EPHX2,CA1,HTR2A,NR1H4,SRD5A2,NR1H3,ABCB1,PTPN11,PREP,NR1H2"
HPO,HP:0001939,Abnormality of metabolism/homeostasis,43,2168,1.13e-11,1.38e-07,"MAPK1,CSNK2A1,STS,CYP27B1,NR3C1,CTSD,CYP2C9,KCNH2,BCHE,SLC6A3,CA2,PPARG,CYP11B1,GLUL,F2,PLG,HSD11B2,MET,SERPINA6,PDE4D,NR3C2,HSD11B1,CYP17A1,ABL1,AR,HSD17B3,F10,PIK3CD,POLA1,JAK2,G6PD,CYP19A1,FGFR1,OPRM1,ESR1,GC,NTRK1,TYK2,JAK3,NR1H4,SRD5A2,PTPN11,CYP2D6"
HPO,HP:0000118,Phenotypic abnormality,67,5129,2.52e-10,1.03e-06,"MAPK1,CSNK2A1,STS,SLC6A2,HSD17B1,CYP27B1,NR3C1,CTSD,FLT3,CHRM3,CYP2C9,RORA,KCNH2,KDR,BCHE,SLC6A3,EGFR,SIGMAR1,CA2,PPARG,ACE,CYP11B1,GLUL,F2,PLG,ADAM17,PRKDC,HSD11B2,MET,RORC,CACNA1H,PDE2A,DYRK1A,SERPINA6,ESR2,PDE4D,CTSB,NR3C2,PDE3A,TOP1,HSD11B1,CYP17A1,ABL1,PLAU,AR,HSD17B3,F10,PIK3CD,POLA1,RPS6KA3,AKR1C2,JAK2,G6PD,CYP19A1,TBXAS1,FGFR1,OPRM1,ESR1,GC,NTRK1,TYK2,JAK3,NR1H4,SRD5A2,ABCB1,PTPN11,CYP2D6"
HPO,HP:0002715,Abnormality of the immune system,35,1682,5.08e-10,1.55e-06,"MAPK1,CSNK2A1,HSD17B1,NR3C1,FLT3,CHRM3,RORA,BCHE,EGFR,CA2,PPARG,CYP11B1,GLUL,F2,PLG,ADAM17,PRKDC,MET,RORC,DYRK1A,PDE4D,CTSB,ABL1,AR,PIK3CD,POLA1,JAK2,G6PD,TBXAS1,FGFR1,ESR1,NTRK1,TYK2,JAK3,PTPN11"
HPO,HP:0000951,Abnormality of the skin,37,1888,7.22e-10,1.76e-06,"MAPK1,STS,HSD17B1,CYP27B1,NR3C1,CHRM3,RORA,EGFR,PPARG,CYP11B1,GLUL,F2,PLG,ADAM17,MET,RORC,CACNA1H,DYRK1A,PDE4D,CTSB,HSD11B1,ABL1,PLAU,AR,F10,PIK3CD,POLA1,RPS6KA3,JAK2,G6PD,CYP19A1,FGFR1,ESR1,NTRK1,JAK3,NR1H4,PTPN11"
HPO,HP:0001626,Abnormality of the cardiovascular system,42,2438,1.67e-09,3.4e-06,"MAPK1,CSNK2A1,NR3C1,CHRM3,KCNH2,KDR,BCHE,EGFR,CA2,PPARG,ACE,CYP11B1,GLUL,F2,PLG,ADAM17,HSD11B2,MET,RORC,CACNA1H,DYRK1A,SERPINA6,PDE4D,CTSB,NR3C2,PDE3A,CYP17A1,ABL1,PLAU,F10,PIK3CD,POLA1,RPS6KA3,JAK2,G6PD,TBXAS1,FGFR1,ESR1,NTRK1,JAK3,ABCB1,PTPN11"
HPO,HP:0001574,Abnormality of the integument,40,2266,2.4e-09,4.19e-06,"MAPK1,CSNK2A1,STS,HSD17B1,CYP27B1,NR3C1,CHRM3,RORA,EGFR,PPARG,CYP11B1,GLUL,F2,PLG,ADAM17,MET,RORC,CACNA1H,DYRK1A,PDE4D,CTSB,HSD11B1,CYP17A1,ABL1,PLAU,AR,F10,PIK3CD,POLA1,RPS6KA3,JAK2,G6PD,CYP19A1,FGFR1,ESR1,NTRK1,JAK3,NR1H4,SRD5A2,PTPN11"
HPO,EFO:0004529,Lipid measurement,41,2400,3.63e-09,5.53e-06,"CYP27B1,FLT3,CHRM3,RORA,SLC6A3,PPARG,HMGCR,NPC1L1,CYP11B1,CDC25A,UGT2B7,F2,PLG,PTPN2,MET,BACE1,PDE2A,NR1I2,ESR2,PDE4D,CTSB,PDE3A,TOP1,DRD2,CYP17A1,AR,SHBG,JAK2,CYP19A1,PPARA,PDE7A,OPRM1,CHRM2,ESR1,GC,TYK2,HTR2A,NR1H4,NR1H3,PTPN11,PREP"
HPO,EFO:0005105,Lipid or lipoprotein measurement,42,2526,4.79e-09,6.49e-06,"CYP27B1,FLT3,CHRM3,RORA,SLC6A3,PPARG,HMGCR,NPC1L1,CYP11B1,CDC25A,UGT2B7,F2,PLG,PTPN2,MET,BACE1,PDE2A,NR1I2,ESR2,PDE4D,CTSB,PDE3A,TOP1,DRD2,CYP17A1,AR,SHBG,JAK2,CYP19A1,PPARA,PDE7A,IL6,OPRM1,CHRM2,ESR1,GC,TYK2,HTR2A,NR1H4,NR1H3,PTPN11,PREP"
HPO,HP:0000140,Abnormality of the menstrual cycle,13,228,5.62e-09,6.86e-06,"NR3C1,PPARG,CYP11B1,F2,PDE4D,CYP17A1,PLAU,AR,F10,CYP19A1,FGFR1,ESR1,PTPN11"
HPO,HP:0002597,Abnormality of the vasculature,33,1673,6.78e-09,7.52e-06,"MAPK1,NR3C1,CHRM3,KDR,EGFR,CA2,PPARG,CYP11B1,GLUL,F2,PLG,ADAM17,HSD11B2,MET,RORC,DYRK1A,CTSB,PDE3A,ABL1,PLAU,F10,PIK3CD,POLA1,RPS6KA3,JAK2,G6PD,TBXAS1,FGFR1,ESR1,NTRK1,JAK3,ABCB1,PTPN11"
HPO,HP:0000119,Abnormality of the genitourinary system,38,2189,1.1e-08,1.09e-05,"MAPK1,STS,CYP27B1,NR3C1,CHRM3,RORA,SIGMAR1,CA2,PPARG,ACE,CYP11B1,F2,PLG,PRKDC,HSD11B2,MET,CACNA1H,DYRK1A,PDE4D,NR3C2,CYP17A1,ABL1,PLAU,AR,HSD17B3,F10,PIK3CD,POLA1,RPS6KA3,AKR1C2,G6PD,CYP19A1,FGFR1,ESR1,NTRK1,JAK3,SRD5A2,PTPN11"
